K14n26039,"JSJ[('SFSpace', 'Or, g=0 + 3 punctures x S1'), ('SFSpace', 'SFS [D: (2,1) (3,-2)]')]"
K15n19499,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 'm032')]"
K15n40211,"SFS [D: (2,1) (3,1)] U/m SFS [D: (2,1) (18,1)], m = [ -1,3 | 0,1 ]"
K15n41185,"SFS [S2: (4,3) (5,1) (20,-19)]"
K15n43522,"SFS [A: (2,1)] / [ 3,11 | 2,7 ]"
K15n48968,"JSJ[('SFSpace', 'M/n2 x~ S1'), ('hyperbolic', 'v2817')]"
K15n51748,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 'm137')]"
K15a54894,"SFS [A: (7,6)] / [ 0,1 | 1,-1 ]"
K15n59184,"JSJ[('SFSpace', 'Or, g=0 + 3 punctures x S1'), ('SFSpace', 'SFS [D: (2,1) (3,-2)]')]"
K15n72303,"JSJ[('SFSpace', 'M/n2 x~ S1'), ('hyperbolic', 's493')]"
K15a78880,"JSJ[('SFSpace', 'SFS [A: (2,1)]'), ('SFSpace', 'SFS [A: (6,5)]')]"
K15a84844,"JSJ[('hyperbolic', 'v1203')]"
K15a84969,"JSJ[('SFSpace', 'SFS [A: (3,1)]'), ('SFSpace', 'SFS [A: (5,4)]')]"
K15a85213,"JSJ[('hyperbolic', 'v2601')]"
K15a85234,"JSJ[('SFSpace', 'SFS [A: (4,1)]'), ('SFSpace', 'SFS [A: (4,7)]')]"
K15a85257,"JSJ[('hyperbolic', 'v3461')]"
K15a85263,"SFS [S2: (2,1) (15,7) (30,-29)]"
K15n112477,"JSJ[('hyperbolic', 's503')]"
K15n112479,"SFS [A: (2,1)] / [ 2,9 | 1,4 ]"
K15n113773,"JSJ[('hyperbolic', 's843')]"
K15n113775,"JSJ[('hyperbolic', 'm129')]"
K15n113923,"JSJ[('hyperbolic', 's441')]"
K15n115375,"JSJ[('hyperbolic', 'm129')]"
K15n115646,"JSJ[('SFSpace', 'SFS [D: (2,1) (3,-2)]'), ('SFSpace', 'SFS [Or, g=0 + 3 punctures: (1,1)]')]"
K15n124802,"SFS [D: (2,1) (3,1)] U/m SFS [D: (2,1) (6,1)], m = [ -7,9 | -3,4 ]"
K15n142188,"JSJ[('SFSpace', 'SFS [D: (2,1) (3,-2)]'), ('hyperbolic', None)]"
K15n153789,"JSJ[('SFSpace', 'SFS [D: (2,1) (2,-1)]'), ('hyperbolic', 'm032')]"
K15n156076,"JSJ[('SFSpace', 'SFS [D: (2,1) (3,-2)]'), ('hyperbolic', None)]"
K15n160926,"JSJ[('hyperbolic', 't11128')]"
K15n164338,"JSJ[('hyperbolic', 's906')]"
